"id","name","parent_id","display_order","is_active","created_at","updated_at"
1017,스웨터,100,8,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1018,자켓,100,9,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1019,블레이저,100,10,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1020,슈러그,100,11,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1021,조끼,100,12,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1022,서스펜더,100,13,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1023,두파타,100,14,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1024,네루 자켓,100,15,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1025,레인 자켓,100,16,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1026,레헹가 촐리,100,17,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1027,롬퍼,100,18,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1028,베이비돌,100,19,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1029,이너웨어 베스트,100,20,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1110,청바지,110,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1111,반바지,110,2,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1112,슬랙스,110,3,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1113,트랙 팬츠,110,4,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1114,레깅스,110,5,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1115,카프리,110,6,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1116,스커트,110,7,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1117,파티알라,110,8,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1118,제깅스,110,9,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1119,스타킹,110,10,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1120,살와르,110,11,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1121,추리다르,110,12,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1122,트랙수트,110,13,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1123,수영복,110,14,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1124,타이즈,110,15,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1125,레인 팬츠,110,16,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1210,드레스,120,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1211,점프수트,120,2,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1310,브리프,130,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1311,브라,130,2,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1312,캐미솔,130,3,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1313,트렁크,130,4,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1314,박서,130,5,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1315,보정 속옷,130,6,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1410,나이트드레스,140,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1411,나이트수트,140,2,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1412,라운지 팬츠,140,3,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1413,라운지 쇼츠,140,4,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1414,라운지 티셔츠,140,5,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1415,목욕 가운,140,6,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1416,로브,140,7,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1510,쿠르타 세트,150,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1512,수영 세트,150,3,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1710,부티,170,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
2010,캐주얼 슈즈,200,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
2011,스포츠 슈즈,200,2,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
2012,포멀 슈즈,200,3,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
2013,플랫 슈즈,200,4,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
2014,힐,200,5,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
2015,부츠형 슈즈,200,6,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
2110,플립플랍,210,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
2211,스포츠 샌들,220,2,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
3010,핸드백,300,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
3011,백팩,300,2,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
3012,클러치,300,3,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
3013,더플백,300,4,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
3014,노트북 가방,300,5,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
3015,메신저백,300,6,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
3016,모바일 파우치,300,7,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
3017,럭색,300,8,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
3018,태블릿 슬리브,300,9,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
3019,트롤리백,300,10,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
3020,웨이스트 파우치,300,11,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
3310,귀걸이,330,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
3311,펜던트,330,2,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
3312,목걸이,330,3,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
3313,반지,330,4,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
3314,팔찌,330,5,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
3315,뱅글,330,6,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
3316,주얼리 세트,330,7,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
4010,퍼퓸 / 바디미스트,400,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
4011,데오드란트,400,2,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
4012,향수 기프트 세트,400,3,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
4210,립스틱,420,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
4211,립글로스,420,2,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
4212,립라이너,420,3,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
4213,립케어,420,4,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
4214,립 플럼퍼,420,5,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
4310,파운데이션 & 프라이머,430,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
4311,하이라이터 & 블러셔,430,2,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
4312,컴팩트,430,3,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
4313,컨실러,430,4,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
4314,아이섀도,430,5,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
4315,아이라이너 / 카잘,430,6,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
4316,마스카라,430,7,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
4317,메이크업 리무버,430,8,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
5010,농구공,500,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
5011,축구공,500,2,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
6010,쿠션 커버,600,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
7110,아이패드,710,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
7111,뷰티 액세서리,4,9,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7112,바디로션,470,1,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7113,바디워시,470,2,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7114,부티 (부츠형 양말),170,0,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7115,캡,370,1,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7116,커프링크,3,0,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7117,아이크림,450,4,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7118,페이스 모이스처라이저,440,1,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7119,스크럽,450,5,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7120,세럼 / 젤,440,2,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7121,페이스 워시 & 클렌저,450,6,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7122,장갑,3,9,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7123,헤어 액세서리,3,10,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7124,헤어 컬러,460,1,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7125,햇,370,2,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7126,헤드밴드,370,3,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7127,키체인,3,11,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7128,마스크팩,440,3,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7129,남성 그루밍 키트,460,2,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7130,머플러,360,2,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7131,네일 용품,410,2,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7132,네일 폴리쉬,410,1,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7133,살와르 & 두파타,110,0,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7134,신발 액세서리,3,12,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7135,신발 끈,7134,1,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7136,삭스,170,2,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7137,스톨,360,3,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7138,선스크린,450,2,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7139,타이,3,13,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7140,타이 & 커프링크 세트,3,14,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7141,토너,450,3,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7142,여행 액세서리,3,15,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7143,우산,3,16,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7144,물병,3,17,1,"2026-02-23 12:41:07","2026-02-23 12:41:07"
7174,맨투맨,100,21,1,"2026-02-23 13:56:44","2026-02-23 13:56:44"
7175,액세서리 세트,330,8,1,"2026-02-23 13:56:44","2026-02-23 13:56:44"
