"id","name","parent_id","display_order","is_active","created_at","updated_at"
1,의류,,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
2,신발,,2,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
3,잡화,,3,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
4,퍼스널 케어,,4,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
5,스포츠 용품,,5,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
6,홈,,6,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
7,기타,,7,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
100,상의,1,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
110,하의,1,2,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
120,원피스,1,3,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
130,이너웨어,1,4,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
140,라운지웨어 / 나이트웨어,1,5,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
150,의류 세트,1,6,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
160,사리,1,7,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
170,양말,1,8,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
200,슈즈,2,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
210,슬리퍼,2,2,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
220,샌들,2,3,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
300,가방,3,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
310,시계,3,2,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
320,지갑,3,3,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
330,주얼리,3,4,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
340,선글라스,3,5,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
350,벨트,3,6,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
360,스카프,3,7,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
370,모자,3,8,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
400,향수,4,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
410,네일,4,2,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
420,립,4,3,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
430,메이크업,4,4,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
440,스킨,4,5,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
450,스킨 케어,4,6,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
460,헤어,4,7,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
470,바디,4,8,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
500,스포츠 장비,5,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
510,손목밴드,5,2,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
600,홈 패브릭,6,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
700,사은품,7,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
710,바우처,7,2,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1010,티셔츠,100,1,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1011,셔츠,100,2,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1012,쿠르타,100,3,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1013,쿠르티,100,4,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1014,탑,100,5,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1015,튜닉,100,6,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
1016,맨투맨 / 스웨트셔츠,100,7,1,"2026-02-23 11:49:13","2026-02-23 11:49:13"
